FID,LAT,LON
15008000,56.026111,-130.065278
15015595,56.240556,-130.880278
15019990,56.200000,-131.506667
15022000,56.213333,-131.636667
15024800,56.708056,-132.130278
15039900,58.248889,-133.981667
15040000,58.227778,-134.040278
15041200,58.538611,-133.700000
15049900,58.307222,-134.386667
15050000,58.306944,-134.401389
15051010,58.332500,-134.465833
15052000,58.391667,-134.420833
1505248590,58.459556,-134.503833
15052495,58.423611,-134.523611
15052500,58.429722,-134.572778
15052800,58.398056,-134.609444
15053200,58.375278,-134.577222
15055500,58.851944,-134.708611
15056030,59.005278,-135.183889
15056095,59.526944,-135.177222
15056210,59.511944,-135.344444
15056280,59.424167,-135.660833
15056500,59.415278,-135.929167
15056560,59.413056,-135.996944
15057580,58.443611,-135.600278
15057590,58.423333,-135.598056
15057596,58.445000,-135.740000
15058700,55.342778,-131.698889
15068040,55.519444,-131.522778
15072000,55.391944,-131.193889
15081495,55.732778,-132.967222
15081497,55.801389,-133.108611
15081610,55.535000,-132.954722
15081614,55.557222,-133.016944
15081995,55.218056,-132.580556
15085100,55.395556,-132.406944
15085697,55.459317,-132.716261
15085800,55.490556,-132.675278
15085900,55.530833,-132.595556
15086225,55.908611,-132.930833
15086960,56.412222,-132.491667
15087080,56.285833,-132.130833
15087300,56.682222,-132.922222
15087500,56.793889,-132.873056
15087565,56.979028,-133.930028
15087570,56.872500,-133.675000
15087585,56.968611,-133.068056
15087618,57.125278,-135.331667
15087690,57.066944,-135.295000
15087700,57.053333,-135.314444
15087735,57.051389,-135.319722
15087810,57.061111,-135.209722
15088000,57.051389,-135.227778
15088200,57.019167,-135.162500
15099900,57.131389,-134.885833
15100000,57.143056,-134.863889
15101490,58.083333,-134.631667
15106970,57.692500,-135.201667
15109048,58.283333,-134.665000
15129000,59.395000,-138.081944
15129120,59.192806,-138.333917
15129500,59.586667,-139.492500
15129510,59.570556,-139.438333
15129600,59.523889,-139.743611
15199500,62.591111,-144.646667
15200280,62.520833,-145.530833
15202000,62.055556,-145.426111
15209700,61.434167,-142.940556
15209750,61.494167,-142.881667
15209770,61.484689,-142.886617
15214000,60.671667,-144.744722
15214190,60.445000,-145.078889
15215900,60.533333,-145.378611
15215920,60.478611,-145.402222
15215990,60.519167,-145.789722
15215992,60.523889,-145.761389
15216000,60.587222,-145.618056
15216003,60.558056,-145.628889
15216008,60.536944,-145.714167
15219000,60.761389,-146.172222
15225996,61.083611,-146.302778
15225997,61.079167,-146.303056
15225998,61.083056,-146.303889
15226605,61.083739,-145.895058
15226620,61.067083,-145.906111
15226900,61.090556,-146.198056
15227090,61.148889,-146.171583
15227500,61.141667,-146.361667
15236000,60.961667,-148.238611
15236210,60.772772,-148.688544
15236900,60.370556,-148.896667
15237030,60.451889,-148.108000
15237360,59.818056,-147.883333
15237730,60.198333,-149.373333
15238450,60.109333,-149.454667
15238500,60.098611,-149.443056
15238600,60.069444,-149.452222
15238648,59.684444,-150.703333
15238820,59.480556,-151.645000
15238950,59.692797,-150.918364
15238951,59.696606,-151.000389
15238978,59.745833,-150.839444
15238982,59.738611,-150.896944
15238984,59.752778,-150.953889
15238985,59.755556,-150.953333
15238986,59.762333,-150.953056
15238990,59.700556,-150.702500
15239001,59.758333,-150.850556
15239050,59.778333,-150.754167
15239060,59.798333,-150.863333
15239070,59.801667,-150.882778
15239500,59.708333,-151.343056
15239900,59.747222,-151.753056
15241600,60.048417,-151.664917
15242000,60.318056,-151.259722
15243900,60.295000,-149.343889
15258000,60.492778,-149.807778
15261000,60.480556,-149.880556
15266110,60.466667,-150.598889
15266150,60.491111,-150.630556
15266300,60.477500,-151.079444
15266500,60.563889,-151.117500
15269500,60.727778,-149.283333
15271000,60.820833,-149.425278
15272280,60.785278,-148.838889
15272380,60.898056,-148.921944
15272502,60.961619,-149.131919
15273045,61.084167,-149.823611
15274000,61.167222,-149.770556
15274550,61.153611,-149.871667
